,S.N.,Traded Companies,No. Of Transaction,Max Price,Min Price,Closing Price,Traded Shares,Amount,Previous Closing,Difference Rs.,date
55,55,Goodwill Finance Co. Ltd.,47,256.00,252.00,254.00,6228.00,1583103.00,252.00,2.00,2021-04-01
56,56,Grameen Bikas Laghubitta Bittiya Sanstha Ltd.,752,1125.00,1051.00,1110.00,77765.00,86522314.00,1097.00,13.00,2021-04-01
57,57,Green Development Bank Ltd.,68,174.00,170.00,172.00,8362.00,1435234.00,173.00,-1.00,2021-04-01
58,58,GreenLife Hydropower Limited,948,382.00,375.00,377.00,15626.00,5905334.00,380.00,-3.00,2021-04-01
59,59,Guheshowori Merchant Bank & Finance Co. Ltd.,49,218.00,212.00,215.00,15133.00,3233742.00,215.00,0.00,2021-04-01
60,60,Gurans Laghubitta Bittiya Sanstha Limited,60,1529.00,1500.00,1522.00,2572.00,3899900.00,1500.00,22.00,2021-04-01
61,Page 3/11 «First ‹Prev 12345678910Next›Last»,,,,,,,,,,2021-04-01
62,61,Gurans Life Insurance Company Ltd.,348,785.00,757.00,771.00,63743.00,49014337.00,756.00,15.00,2021-04-01
63,62,Gurkhas Finance Ltd.,371,497.00,480.00,480.00,68453.00,33247005.00,480.00,0.00,2021-04-01
64,63,Himal Dolakha Hydropower Company Limited,222,140.00,133.00,135.00,102223.00,13753942.00,134.00,1.00,2021-04-01
65,64,Himalaya Urja Bikas Company Limited,137,344.00,331.00,334.00,17855.00,5976455.00,338.00,-4.00,2021-04-01
66,65,Himalayan Bank Limited,188,506.00,503.00,505.00,16113.00,8125644.00,500.00,5.00,2021-04-01
67,66,Himalayan Distillery Limited,315,4334.00,4191.00,4241.00,18243.00,77458673.00,4216.00,25.00,2021-04-01
68,67,Himalayan General Insurance Co. Ltd,466,730.00,709.00,712.00,79398.00,57279211.00,718.00,-6.00,2021-04-01
69,68,Himalayan Power Partner Ltd.,202,394.00,386.00,391.00,34749.00,13542968.00,393.00,-2.00,2021-04-01
70,69,Hydorelectricity Investment and Development Company Ltd,3237,475.00,440.00,444.00,540389.00,244032590.00,470.00,-26.00,2021-04-01
71,70,ICFC Finance Limited,313,319.00,300.00,306.00,66516.00,20554184.00,302.00,4.00,2021-04-01
72,71,IME General Insurance Ltd.,537,1252.00,1190.00,1194.00,91115.00,109626940.00,1193.00,1.00,2021-04-01
73,72,Infinity Laghubitta Bittiya Sanstha Limited,127,1600.00,1552.00,1565.00,5228.00,8202638.00,1590.00,-25.00,2021-04-01
74,73,Janaki Finance Ltd.,69,265.00,259.00,261.00,16591.00,4331630.00,258.00,3.00,2021-04-01
75,74,Janautthan Samudayic Laghubitta Bikas Bank Ltd.,139,4600.00,4342.00,4359.00,4715.00,20784449.00,4484.00,-125.00,2021-04-01
76,75,Joshi Hydropower Development Company Ltd,134,131.00,128.00,130.00,10833.00,1396454.00,130.00,0.00,2021-04-01
77,76,Jyoti Bikas Bank Limited,748,241.00,221.00,232.00,186732.00,43100149.00,224.00,8.00,2021-04-01
78,77,Kalika Microcredit Development Bank Ltd.,697,1483.00,1321.00,1420.00,48018.00,68561434.00,1390.00,30.00,2021-04-01
79,78,Kalika Microcredit Development Bank Ltd. Promoter Share,2,710.00,710.00,710.00,3000.00,2130000.00,710.00,0.00,2021-04-01
80,79,Kalika power Company Ltd,216,297.00,278.00,288.00,27527.00,7856719.00,286.00,2.00,2021-04-01
81,80,Kamana Sewa Bikas Bank Limited,1211,350.00,322.00,339.00,319281.00,108098885.00,326.00,13.00,2021-04-01
82,Page 4/11 «First ‹Prev 12345678910Next›Last»,,,,,,,,,,2021-04-01
83,81,Karnali Development Bank Limited,118,172.00,168.00,172.00,24170.00,4125277.00,170.00,2.00,2021-04-01
84,82,Khanikhola Hydropower Co. Ltd.,85,126.00,121.00,125.00,9670.00,1194408.00,123.00,2.00,2021-04-01
85,83,Kisan Lagubitta Bittiya Sanstha Limited,265,1857.00,1773.00,1857.00,17769.00,32423762.00,1689.00,168.00,2021-04-01
86,84,Kumari Bank Limited,1147,320.00,306.00,317.00,424195.00,132445244.00,309.00,8.00,2021-04-01
87,85,Kumari Bank Limited Promotor Share,1,114.00,114.00,114.00,25000.00,2850000.00,112.00,2.00,2021-04-01
88,86,Laxmi Bank Limited,694,312.00,291.00,302.00,215932.00,64932265.00,295.00,7.00,2021-04-01
89,87,Laxmi Equity Fund,10,10.99,10.92,10.92,37100.00,405669.00,10.99,-0.07,2021-04-01
90,88,Laxmi Laghubitta Bittiya Sanstha Ltd.,162,2014.00,1941.00,1990.00,13513.00,26635920.00,1975.00,15.00,2021-04-01
91,89,Laxmi Unnati Kosh,18,10.12,10.00,10.12,10200.00,102889.00,10.12,0.00,2021-04-01
